Uplyna lhůta bez nových sankcí Íránu	EU se přiblížila k udělení nových sankcí proti Íránu
Zatčený ruský vrah popírá vazby na Pussy Riot	Desítky zadržených protestantů v ruské televizní věži
Norský memoriál udělil vyznamenání 77 obětem masakru	Norsko si připomíná výročí masakru
Americký generál v Afghánistánu je obecně spojován s Petraeus skandálem	Vrchní americký generál je spojován s Petraeus skandálem
"Zatykač" na Maledivského ex-prezidenta	Maledivy vydaly zatykač na bývalého prezidenta
Čínské akcie spadli po snížení RRR - květen 14	Čínské akcie v pondělí dopoledne posílily
HRW: Jordán vrací palestinské uprchlíky ze Sýrie	zpráva: Jordán je zaujatý proti Palestincům ze Sýrie
KLDR dělá „významný pokrok“ ve vývoji jaderného reaktoru - IAEA	KLDR slibuje rozšířování jaderného zastrašování
Prezident Malediv odstupuje po policejní vzpouře, protestestech	Prezident Malediv odstupuje po týdnech protestů
Útok NATO "zabíjí civilisty" v Afghánistánu	Dva vojáci NATO byli zabiti v Afghánistánu
Al-Káida tvrdí, že zajala 70 jemenských vojáků v bitvě u Abyan	Střety s Al-Káidou zabily 35 vojáků v Jemenu
Armádní tryskáč havaroval v Americe do bytových domů, piloti se katapultovali	Americký armádní tryskáč spadl ve Virginii do bytových domů
Čínské akcie ve středu otevřely vysoko	Americké akcie otevřou výše i přes špatný odhad HDP
IDF nasadí Iron Dome v centru Israele	Velká sněhová bouře v centrálním regionu
4 lidé zabiti Americkým dronem v Pákistánu	Útok Americkým dronem v Pákistánu zabil 3 lidi
Americký teenager zadržen v Chicagu z důvodu nastražení bomby v automobilu ve jménu ‚džihádu‘	Chicágský tenager zatčen v Chicagu z důvodu nastražení bomby
PC David Rathband: obavy dvojčete pro jeho "nejlepšího kamaráda"	David Miliband: můj bratr a návrat ke staré labouristické straně
Syrské síly se přesunují opět ovládnout Aleppo	Syrský režim se pokusí opět ovládnout město Aleppo
20 členný parlamentní sněm, obchodní tým odjíždí do Indie	Ministr obchodu si bere volno
Silvestera Stalloneho syn Sone Sage byl nalezen mrtvý v LA	Syn Sylvestera Stalloneho nalezen mrtvý doma
Wall Street otevřel níž	Wall Street končí smíšeně
Clintonová: USA, Evropa musí dělat více proti tyranům	Clintonová: USA, Evropa musí usilovat o to porazit tyrany
Evropské akcie poskočili s nárůstem Čínských stimulů	Ceny ropy stoupají v naději stimulů
Syrské síly obsadily pevnost rebelům	Sýrská armáda na severu zabrala pevnost rebelům
Akciový index futures vykazuje nižší start	Akciový index futures signalizuje předčasné ztráty
Muž byl obviněn poté co byl MP zraněn při útoku	Muž obviněn z vraždy v bytě
Čínské akcie při pátečním poledni uzavřely výše	Čínské akcie v pátek otevřely níže
Útok amerického dronu zabil 5 ozbrojenců v Pákistánu	Útok dronem zabil čtyři podezřelé ozbrojence v Pákistánu
Rebelové v Sýrii opustili obléhané Homs	Syrští rebelové ustoupili od obležené čtvrti Homs
Spojené státy nařídili nepotřebnému personálu opustit Súdán, Tunisko	Spojené státy nařídili nepotřebnému personálu opustit Tunisko, Súdán
Sandy udeřil ze severo-východu, nejméně 18 mrtvých, 7,4 milionu bez proudu	Bouře na východě Spojených států zanechaly 2 mrtvé ve Va., 2 miliony bez proudu
Romney, Obama střet o dani, ekonomika poprvé v debatě	Obama a Romney se staví k první debatě
Assad říká že žoldáci mají na svědomí Syrské nepokoje	Assad obviňuje USA z eskalace syrského povstání
Putin vyhlašuje vítězství v Ruských prezidentských volbách	Stížností při ruských volbách narůstá
Japonský PM rozpouští sněmovnu pro volby	Írán a světové mocnosti jsou připravení vést jaderné rozhovory
Dva mrtvý po izraelském útoku na Gazu: medici	5 mrtvých při úderech na Gazu, radikálové ostřelují Izrael
Armádní stíhačka spadla do budov ve Virginii, šest zranila	Armádní stíhačka spadla do apartmánů ve Virginii, 9 raněných
Jeden voják NATO zabit v J. Afghánistánu	Britský voják zabit v jižním Afghánistánu
Španělsku míra nezaměstnanosti na novém maximu	Nezaměstnaných ve Španělsku přibylo na nové maximum
Bomba na silnici zabila 10 afghánských civilistů: policie	Bomba na silnici zabila 5 afghánských policistů
Turecko vyslalo stíhačky na hranice	Turecko vyslalo stíhačky k Syrským hranicím
Dva mrtvý v Sýrii po násilnostech od okamžiku kdy OSN začala monitorovat zemi	Dvouletý zákaz pro Contadora za doping
Prezidentovo postřehy z Veletrhu Vědy v Bílém domě	Veletrh Vědy v Bílém domě
Civilista, uprchlík zabit v Sýrii, napsala NGO	Syrský ozbrojenec zabil tři Syrské strážníky: NGO
Malawi potvrdila smrti prezidenta	Malawi potvrdila smrt prezidenta Mutharika
Taiwan se zatřásl po silném zemětřesení	Čína se otřásla po dvou zemětřeseních
Paul Tucker z Banky Anglie je spojován se skandálem Libor	Banka Anglie odmítá nařízení manipulací se sazbou
Lybie odkložila parlamentní volby na 7 července	Lybie odložila státní volby na 7 červenec
Červený kříž vyjednával pozastavení bojů v Sýrii k poskytnutí pomoci raněným	Červený kříž vyjednává příměří v Sýrii, aby poskytl pomoc
Syrské síly střílely na autobus s civilisty	Syrské síly, rebelové se střetli v blízkosti Turecka
Německý parlament drtivou většinou podpořil dohodu o záchraně Řecka	Německý parlament schválil pomoc Řecku
Bombardování, střety v Sýrii pokračují	Bombové útoky, střety zatímco Syrská opozice žádá zbraně
Londýn 2012 Olympijské slavnostní zahájení: “K zelené a příjemné zemi”	Londýn 2012 Olympiáda: Slavnostní zahájení být “zelená a příjemná země”, říká Danny Boyle
Barmské reformy přinášejí zmírnění amerických sankcí	Barmští aktivisté říkají pomalu zmírňujte sankce
Usain Bolt vyhrál 200m - Steven Howard reakce	Mobilní zisky Facebooku pohánějí růst výnosů: reakce
Desítky mrtvých po útoku Talibanu na letovisko	“Indická policie obvinila 3 Íránce z útoku na velvyslanectví”
Čínský yuan oslabuje k 6.3282 vůči dolaru, pondělí	Čínský juan spadl na 6.2697 vůči dolaru, čtvrtek
7 mrtvých při střelbě v křesťanské škole	5 zraněných při střelbě ve škole v Ohiu
Indonéské protiteroristické komando zabilo dva podezřelé ozbrojence	Indonéská policie zastřelila podezřelé militanty na Bali
Americké volby: Mitt Romney připouští porážku když Barack Obama vyhrává v druhém kole	Romney při telefonickém hovoru připouští zvolení Obamy
Arméni volili v parlamentních volbách	Arménské parlamentní hlasování, test pro prezidenta
Pákistánu blokuje Twitter kvůli anti-islámskému materiálu	Pákistán blokuje Twitter kvůli ‚rouhání‘
Annan návštíví syrské uprchlíky v Turecku, úterý	Annan navštíví syrské uprchlíky v Turecku před návštěvou Íránu
Venezuelský Chávez je potřetí na Kubě z důvodu léčby proti rakovině,	Venezuelský vůdce se z léčebných důvodů vrací na Kubu
Obyvatelé v okolí Gazy dostali pokyn zůstat v blízkosti úkrytu	Bestův velký den přinesl Západním Indiánům výhru
Vojenská stíhačka spadla do bytového domu	Americká vojenská stíhačka spadla ve Virginii do bytových domů
Romney vyhrál primárky velkým rozdílem v Puerto Rico	Romney vyhrál primárky v Illinois
Yahoo! jmenoval Mayerovou z Google jako CEO: Zpráva	Yahoo jmenoval bývalou zaměstnankyni Google Mayerovou jako CEO
Při požáru v domu Co Donegal zemřel muž	Při požáru v domu Co Cork zemřela žena
12 mrtvých a desítky zraněných při výbuchu plynu v Doha	 26 mrtvých, včetně 8 dětí, zabito syrskou střelou
DNA ledního medvěda může pomoci v boji proti obezitě	Studie polárního medvěda může urychlit boj proti obezitě
Volební místnosti otevřely při volbě ukrajinského prezidenta	Spuštění nominací od e.TV Ghana na cenu největší vlivnosti
Indický inkoust: Obrázek dne: 21. dubna	Indický inkoust: Obrázek dne: 2. května
Paul Walker, hvězda 'Rychle a Zběsile', zemřel při autonehodě	Paul Walker (40) zemřel: Hvězda Rychle a Zběsile zemřela při autonehodě
Na Mali byli zabiti dva francouzští novináři	Francie potvrdila, že dva francouzští novináři byli zabiti na Mali
Letecký úder zabil jednoho člověka v syrském Hama	Bezpilotního letounu USA zabil jedenáct lidí v Pákistánu.
Vůdce pákistánského Talibánu Hakimullah Mehsud byl zabit při náletu bezpilotního letounu.	Pákistánský Talibán 'volí nového vůdce' se slibem 'nebývalé' pomsty
Turecký předseda vlády se střetl s odpověďmi na protesty	Turecký prezident volá po klidu uprostřed celonárodních protestů
Ozbrojenci v Pákistánu zabili devět turistů	Ozbrojenci útočí na hotel v odlehlé pákistánské provincii
Izrael a Hamas pozorují kráté příměři v Gaze	Izrael a Hamas přijmuly dočasné příměří
Čínský problémový Xinjiang zasažen dalším násilím	Čínská online populace vzrůstá na 618 miliónů.
Pozůstalí po požárech v Číně se 120 mrtvými se dostali do potyčky s policií	Rozzlobené rodiny požadují odpověď poté, co požáry v Číně zabili 119 osob.
Írán odmítá tvrzení o chlorových bombách	Írán odmítá podezření MKO na nukleární arzenál
Manželka indického ministra zemřela 'nepřirozenou smrtí' po zvěstech ohledně milostného poměru 	Ministrova manželka zemřela nepřirozeně
3 mrtví, 1 zraněný při střelbě v přímořském motelu v Jižní Karolíně	4 mrtví, 30 zraněných při železniční nehodě blízko Moskvy
Pohřeb po Bostonském bombovém útoku byl oprávněný	Připraven jít domů: Poslední oběť Bostonských bombových útoků opustila nemocnici
5 mrtvých v jihočínském silničním tunelu	02:41 156 mrtvých při čínském zemětřesení
Prezident jihoafrické republiky: Mandela se zlepšuje	Afgánský prezident zdržel podepsání dohody s USA
Aktualizace světových zpráv, co potřebujete vědět	Dělnická sazba daně 50p: co potřebujete vědět
Syrská občanská válka v obrazech	Mírové rozhovory v syrské občanské válce jsou v ohrožení kvůli vměšování Íránu
Nové silné zemětřesení zasáhlo poškozený region Pak	Zemětřesení o síle 6.8 v poškozeném pákistánském regionu.
Domovní požár v severním Pákistánu zabil 7 lidí	Nálet bezpilotního letounu USA zabil v severozápadním Pákistánu 8 osob
Abdullah Widens vede v afgánských prezidentských volbách	Blízko afgánského presidentského paláce byly slyšet exploze
Imran obviňuje konkurenta z vraždy kolegy	Pákistánský Imran obviňuje konkurenta ze zabití člena strany
Bangladéš vyznamenává dělnické oběti	Maloobchodníci vrátili Bangladéši dohodu o tovární bezpečnosti
Muž, který se zapálil v národním nákupním středisku, zemřel	Muž, který se zapálil v národním nákupním středisku, byl převezen do nemocnice
Japonsko po kritice USA hájí lov delfínů	Japonsko hájí lov delfínů po kritice z USA
Bombový výbuch otřásl nákupním centrem v Nigérii, 12 mrtvých	Bombový výbuch před shromážděním indické opozice zabil 4 osoby
Filipínský tajfun si vyžádal 4460 obětí: UN	Počet mrtvých při filipínském tajfunu vzrostl nad 5000
Na venezuelské volební protestanty použila policie slzný plyn	Chavez, Madurovův dědic, vyhrál venezuelské prezidentské volby
Vlna útoků v Iráku zabila přes 95 osob	Sebevražedný útok v severním Iráku zabil 12 osob
Nejvyšší čínský politický poradce navštívil řeckého premiéra	Vrcholný čínský politický poradce navštívil jemenského prezidenta
Palestinský diplomat zraněn při výbuchu v Praze	Palestinský velvyslanec zraněn při výbuchu apartmánu
