Skupina čtyř dětí tancujících na dvorku.	Skupina dětí se protahuje na barevných podložkách.
Dva černí psi si hrají na trávě.	Dva černí psi si hrají na travnaté planině.
Skupina teenagerů skáče do vzduchu na pláži.	Skupina mladých lidí, vyskakuje do vzduchu, zatímco jsou na pláži.
Černohnědý pes žvýká velký klacek.	Černobílý pes hrající si v písku.
Chlapec mává dokola prskavkou.	Mladý chlapec točí prskavkou kolem ve vzduchu.
Dva černí psi hrající si v trávě.	Dva psi si hrají v trávě.
Několik lidí v noci posedává okolo ohně.	Skupina lidí v noci postává a posedává kolem na zemi.
Dva chlapci skáčou do bazénu.	Dva chlapci jsou ve vzduchu při skákání do vnitřního bazénu.
Dvě různá plemena hnědých a bílých psů si hrají na pláži.	Dva psi hrající si v písku na pláži.
Muž a dvě ženy oblečeni v upířích kostýmech.	Muž a dvě ženy oblečeni v kostýmech.
Dva chlapci, jeden s kloboukem, na hřišti.	Chlapec v béžovém klobouku se směje, zatímco sedí poblíž vybavení hřiště.
Dva psi hrající si ve sněhu.	Dva psi si hrají ve sněhu.
Žena drží dítě, zatímco muž se kouká na jiného muže držícího dětské hodinky.	Žena stojí v obchodě s rukama venku, zatímco jiná žena drží kameru.
Bílý načechraný pes běží v čistě bílém sněhu.	Načechraný, bílý pes běžící ve sněhu.
Žena držící noviny.	Muž na kolečkových bruslích na kovové tyči.
Skupina mužů hrajících na dechové nástroje.	Skupina chlápků hraje venku na nástroje.
Dvě dívky na břehu pozorují lidi v rybářské lodi.	Dva muži, jeden v červeném a jeden v bílém hrající basketbal.
Snowboardista skáče do vzduchu.	Snowboardista letí vzduchem.
Bílý pes s červenýma ušima běží ve sněhu.	Mokrý černý pes s červeným obojkem je v řece.
Holčička a chlapec se drží za ruce na lesklé skluzavce.	Holčička v kašmírových šatech běží přes písečné hřiště.
Děti hrají fotbal na hřišti.	Tři chlapci hrající fotbal na hřišti.
Skupina mužů jde a visí na lanech.	Skupina mužů hraje vysokoškolský fotbal.
Muž skáče z jedné střechy na druhou.	Mladý muž skáče z jednoho balkónu na druhý.
Černoch v černočerveném spí na lavičce s otevřeným deštníkem.	Muž sedící na lavičce v parku dávající si šlofíka s otevřeným deštníkem, který ho chrání před sluncem.
Jedno dítě tahá jiné, sedící v červeném voze, podél písku.	Chlapec táhne jiného chlapce ve směšném klobouku ve vozítku.
Dvě štěňata hrající si s plastovou taškou.	Dva psi hrající si na dvorku.
Sova má své křídla nahoře a roztažené v průběhu dne.	Pták v průběhu letu má své křída roztažené.
Muž v modré čepici sedí na stoličce pod stromem.	Pes stojící na pláži s míčem poblíž.
Žena zpívá do mikrofonu vedle muže hrajícího na kytaru.	Žena zpívá do mikrofonu s kytaristou v pozadí.
Tři ovce se pasou na louce se psem jdoucím za nimi.	Malá skupina koz v trávě s černobílým psem v pozadí.
Cyklista skáče na kole mezi dvěma kameny.	Muž skáče na kole ve vzduchu mezi dvěma kameny.
Muž se šedivým plnovousem jezdí na kole na pláži oceánu.	Skvrnitý pes stojí na zadních nohách a chytá míč na pláži.
Muž v černém obleku surfuje sám po ničivých vlnách.	Surfař v černém potápěčském obleku jede na bílé vlně v oceánu.
Mladá dívka s nasazeným růžovým kloboukem se žlutou budovou v pozadí.	Mladá dívka v růžových šatech s něčím v ruce.
Dívka v růžových šatech jede na kole podél bílého kolíkového plotu.	Dívka v červených šatech jede na kole před bílým plotem.
Hnědé chlupaté zvíře stojí za nějakými rostlinami.	Pes kouká, zatímco stojí v lese.
Dítě v červené košili, používá černý wakeboard, aby překonalo plážovou vlnu.	Muž v člunu, vesluje přes modrou vodu.
Béžovo bílý pes běží v poli.	Hnědobílý pes běží skrz pole.
Tři malé dívky sedí na trávě.	Dva pudlové běží sněhem.
Hnědý pes běží směrem k fotoaparátu na prašné stezce s horami v pozadí.	Hnědý pes běží dolů směrem ke kameře po skalní stezce skrz křoví s horami v pozadí.
Zlatý retrívr skákající z dřevěné verandy.	Zlatý retrívr skáče z dřevěné verandy.
Pes skáče dolů po rampě.	Dívka skáče v písku.
Pes si hraje v parku.	Pes skáče přes plot v parku.
Dvě mladé dívky, jedna se usmívá.	Holčička na dětské houpačce.
Dva ptáci škádlící se v trávě.	Dva psi si spolu venku hrají.
Čtyři psi stojí ve sněhu.	Čtyři psi hrající si ve sněhu.
Hnědí a černí psi ve sněhu, ukazující zuby a štěkající na sebe.	Černý pes bojující s hnědým psem ve sněhu.
Dva turisté stojí na vrcholu zasněžené hory.	Dva horolezci stojí na vrcholu hory a rozhlížejí se kolem sebe.
Muž běžící na trati.	Běžící muž na trati.
Dvě děti v poli červených květin.	Dvě děti si hrají v poli červených květin.
Mladí muži skáčou ze skály do jezera.	Mladý muž v červených plavkách skáče z velké skály do vody.
Malý černý pes je v trávě.	Černý pes běží v trávě.
Dáma v kimonu se dívá do kamery.	Dvě dívky oblečené v černém sedí v místnosti a dělají sugestivní pózy na kameru.
Skupina lidí nafukuje horkovzdušný balón.	Velká skupina lidí jedoucí na hnědých a bílých koních.
Děti si hrají na boj s meči.	Dítě a rodič se mazlí s koněm.
Muž jede na windsurfu v oceánu.	Pes běží oceánem.
Muž na bruslích sjíždí řadu schodů.	Muž na lyžích sjíždí zasněžený kopec.
Tři psi závodící na prašné dráze.	Auta závodící na prašné dráze.
Dva lidé držící se za ruce a jdoucí v poli.	Dva muži, procházející kolem nástěnné malby auta.
Hnědý pes honí frisbee.	Hnědý pes válející se na trávě.
Dáma ve žlutém oblečení je ve vzduchu nad postelí ve žluté místnosti.	Pes s červeným vodítkem je stále zapojen do honičky po trávě za tenisovým míčkem.
Žena v červených montérkách, stojící na chodníku.	Žena v červených montérkách stojí na chodníku.
Pes běží přes dvorek plný listů.	Tři psi běží přes pole.
Dvě štěňata hrající si kolem v trávě.	Dvě štěňata si hrají v trávě.
Světle zbarvený pes běží v trávě.	Pes běží přes trávu.
Dva černobílí psi si hrají spolu venku.	Dvě děti a černý pes si hrají venku ve sněhu.
Tři psi běžící vodou.	Černý pes běžící vodou.
Žena sedí sama naproti cihlové zdi.	Žena se prochází se svojí červenou taškou.
Lyžař skáče do vzduchu přes sněhové pole v blízkosti pohoří.	Žena sedí u záhonu s výhledem do tunelu.
Hnědý pes nesoucí klacek v tlamě.	Pes plavající s klackem v tlamě.
Mladá žena se naklání k talíři při jídle.	Mladá žena, nahoře bez pomalovaná barvou a bahnem.
Psi si hrají ve sněhu.	Dva psi hrající si na pobřeží.
Mladý chlapec v červených plavkách skáče do bazénu.	Pes je stříkán hadicí, zatímco skáče do brouzdaliště.
Osoba, která leze na zasněžené kopce, je následována jejím psem.	Osoba šplhá na zasněžené kopce, zatímco černý pes následuje.
Hnědý pes sedí na pláži.	Pes běžící na pláži.
Potápěč ponořený ve vodě.	Potápěč je pod vodou.
Muž jede na kole ze zaprášeného kopce.	Cyklista sjíždí dolů po zábradlí.
Velký šedý pes si hraje v hlubokém sněhu.	Čtyři psi, hrající si ve sněhu.
Muž jedoucí na kole na pláži u oceánu.	Muž jdoucí se svou krávou po straně silnice.
Dva psi běží na trávě před stromy.	Hnědý pes běží na trávě před nějakými stromy.
Pes v autě.	Pes kouše do mopu.
Dítě drží objekt, který je v jednom ohni.	Dítě v růžovém má objekt, který se zdá být v jednom ohni.
Pes s plandavýma ušima jdoucí směrem k fotoaparátu v lese.	Dítě před vlastním odrazem se otáčí na kameru a usmívá se.
Hnědý pes stříkající vodu všude otřepáváním vody ze sebe.	Bílý pes stojí u řeky, otřásající se do sucha.
Mladý chlapec lezoucí na skalní stěnu.	Pět chrtů závodí na pískové dráze.
Černobílý pes běží na pláži.	Černohnědý pes běží sněhem.
Mnoho lidí ze středního východu sedí v zadní části modrého vozu.	Skupina lidí jede v zadní části kamionu.
Člověk se dvěma lyžařskými hůlkami sjíždí zasněžený kopec.	Člověk na lyžích sjíždí zasněžený kopec.
Žena jí ryby v restauraci.	Žena jí velkou rybu v restauraci.
Dítě a dva psi si hrají ve vodě.	Dítě v červenomodrých rukávkách dívající se na vodu.
Skateboardista dělající trik na kamenné zdi.	Skateboardista jedoucí do svahu.
Lidé stojí na eskalátoru jedoucím nahoru.	Lidé jedou nahoru na eskalátoru.
Dáma běží se svým psem na kurzu hbitosti.	Trenér běží se svým psem na tréninkovém kurzu v zelené trubce.
Bílohnědý pes si oklepává uši.	Hnědý pes běží přes písek.
Skateboardista skáče ze schodů.	Pes skáče ze schodů.
Některé děti zvedají ruce a tleskají.	Tři děti hrají fotbal na písku.
Muž vyfoukává velké bubliny.	Muž venčící velkého černého koně.
Dva lidé sedí v doku kousek od vody.	Dva lidé sedí na konci doku uprostřed klidné vody.
Dva psi běžící společně a jeden má kachní hračku v tlamě.	Černobílý pes jdoucí po trávě s dlouhým klackem v tlamě.
Černobílý pes běží po trávě.	Černo bílý pes plave v modré vodě.
Hokejový brankář ležící na ledu před brankou.	Hokejový hráč leží na ledu před bránou.
Lyžař má na sobě modré oteplovací kalhoty, letí vzduchem poblíž skokánku.	Lyžař stojí na ruce na sněhu před videokamerou.
Hnědý pes běží po travnaté cestě.	Hnědý pes běží po travnatém úseku děleným řetězem.
Dívka má na sobě modré proužkované tričko a kolečkové brusle.	Muž v černobílé košili skákající na psím hřbetu.
Potetovaný muž v černém hrající na bílou kytaru a zpívá.	Žena v černobílém plášti a chrániči sluchu.
Pes běžící po pláži.	Chlapec a dívka běžící po pláži.
Mladý muž a žena sedící venku na lavičce se líbají.	Muž a žena sedící na lavičce se líbají.
Hnědý pes vyskakuje, aby chytil zelený pásek do jeho tlamy.	Šedý pes, skáče, aby skousl zelené vodítko.
Černý pes běží v trávě.	Černohnědý pes běžící v trávě.
Žena sedí na chodníku s mobilním telefonem u ucha.	Žena jede na kole.
Tři psi si hrají v travnatém poli.	Nějaké děti si hrají v poli.
Malý bílý pes přelézá kládu.	Malý pes překračuje kládu.
Mladý chlapec si hraje v jámě s červenými míčky.	Smějící se chlapec leží v jámě s modrými balónky.
Surfař na vlně.	Surfař sjíždí vlnu.
Psi si hrají ve sněhu na zadních nohách.	Dva psi si hrají ve sněhu.
Skateboardista, se dostal na vrchol rampy.	Skateboardista, jede na trubkové zdi ve skateparku.
Dva muži na běžecké soutěži.	Psi v závodě.
Chlapec sjíždí na skateboardu zábradlí na schodech pomalovaných graffiti.	Skateboardista sjíždí dolů po zábradlí na nohách.
Černobílý pes běží vodou.	Černohnědý pes běží polem.
Dvě děti jdou po cestě v lese.	Dvě děti jdoucí po cestě v lese.
Hnědobílý pes běží po trávě.	Béžovočerný pes běží přes trávu.
Žena běží po pláži.	 Pes běží přes pozemek.
Dva psi běží bok po boku po trávě.	Dva psi běžící po trávě.
Dva psi čůrají na červený požární hydrant.	Dva psi močí na červený požární hydrant.
Hráč ragby v tmavě zelené výbavě nese světle zbarvený ragbyový míč napřaženou rukou.	Hnědý pes šplouchá ve vodě, zatímco nese míč v jeho tlamě.
Zlatě zbarvený pes skáče kolem v trávě, zatímco drží klacek v tlamě.	Černý pes běží přes trávu nesoucí něco červeného v tlamě.
Dva lidé jdou nějakou vodou.	Dvě dívky jdou u stromu před cihlovou stavbou.
Dívka běží po pouštní cestě.	Mladá dívka mluví do mobilního telefonu.
Bílý pes si hraje s míčem na pláži.	Černobílý pes si hraje s béžovým psem.
Pes cákající ve vodě.	Pes cáká v kalné vodě.
Muž řídí modrou loď kolem pestrobarevných domů.	Muž řídící modrou loď proplouvající kolem pestrobarevných domů.
Skupina lidí jde po chodníku z velkoměsta.	Skupina lidí jede v zadní části kamionu.
Pes je ve vzduchu nad trávou.	Pes leží na posteli s modrým povlečením.
Žena v černých šatech s červenými doplňky jde na ulici.	Žena v černých šatech jdoucí na ulici.
Černý pes běží přes nějakou vodu.	Muž ve fotbalovém dresu běží s míčem v průběhu hry.
Dívka stojí v metru čekající na něco.	Dívka stojí v temném prostoru.
Dva psi, se k sobě přiblížili v trávě.	Dva psi, stojí proti sobě na trávě.
Muž sedí s malou holčičkou v parku.	 Muž si hraje s chlupatým malým psíkem.
Velký béžový pes běží se zeleným předmětem v tlamě.	Béžový pes nese zelenou pískací hračku v tlamě.
Skupina lidí v lodích závodících ke břehu.	Učebna studentů sledujících prezentaci.
Člověk, který skáče na skateboardu do vzduchu nad rampu.	Motorkář jede podél trati prvku umístěného na zalesněné oblasti.
Chlapec v noci sjíždí na skateboardu kovové zábradlí.	Hnědý pes běží na písku, držící klacek.
Člověk se protahuje otvorem ve skále.	Středně velký hnědý pes běží přes otevřené bílé zalesněné oblasti.
Pes běží směrem k fotoaparátu s míčem v tlamě.	Černobílý pes plave s hnědým objektem v tlamě.
Mladá dívka běžící na pláži.	Malá dívka běžící na břehu pláže.
Hráč baseballu hází míček.	Hráč basketbalu drží míč.
Muž se houpá na laně nad vodou.	Muž v plavkách v barvě kaštanů se houpe na laně na jezeře.
Žena ve velkých slunečních brýlích drží noviny v obou rukách.	Tlustá žena v slabém modrém topu fouká mýdlovou bublinu.
Jelen skáče plot.	Jelen skáče přes plot.
Mladá dívka oblečená v Minnie Mouse oblečení a starší žena jdou po chodníku.	Muž v bílém obleku a s novinami kráčí ulicemi.
Pár psů hrající si s fialovým míčem.	Dva psi si hrají s fialovým fotbalovým míčem.
Pták přistane ve vodě.	Loď plave ve vodě.
Tři děti stojí na plotu nebo v jeho blízkosti.	Tři děti stojí na plotu a u něj.
Černý pes se vynoří z vody s bílým míčem v tlamě.	Černý pes vylézá z vody s bílým míčem v tlamě.
Dívka ve fialovém tričku a v růžové čelence pózuje.	Mladá dívka v klobouku a modrých džínách je na houpačce.
Hnědý pes kope díru před rostlinou.	Skupina lidí jdoucí podél železniční trati.
Hnědobílý pes plave v bazénu.	Hnědobílý pes plave v bazénu na dvorku.
Dva šedí psi běží spolu přes zelený trávník.	Dva šedí psi běhají na zeleném trávníku.
Chlapec sjíždí kopec na červených sáňkách.	Mnohobarevný pes s červeným obojkem se krčí v trávě.
Dva psi si hrají v trávě.	Dva psi si hrají ve sněhu.
Černo hnědý pes běží lesem.	Pes běží lesem.
Dva psi běží na trávě.	Dva psi si hrají v trávě.
Dva psi běží na travnaté ploše.	Dva psi běží přes travnatou plochu.
Pár sedící na zahradní židli v blízkosti vody.	Chlapec v parku skáče z jednoho piknikového stolu na druhý.
Tři lidé sedí u piknikového stolu před budovou natřenou jako Union Jack.	Tři lidé sedí u venkovního stolu před budovou natřenou jako Union Jack.
Mladá dívka vztyčí znamení míru.	Holčička se na ulici drží tyče.
Muž visí na laně z útesu nad vodou.	Muž sedící sám na molu s lahví vody.
Muž se krčí a drží kameru.	Krčící se muž drží velkou kameru.
Muž na kole sjíždí úzkou cestu.	Muž na jednokolce sjíždí zpevněnou cestu.
Muž v oranžovém kabátu mluví na druhého muže, zatímco procházejí sněhem.	Muž a žena ve staromódním oblečení sedí venku u stolu.
Pes plave přes vodu.	Pes s pláštěnkou běží sněhem.
Německý ovčák skáče skrz černou obruč, zatímco se lidé koukají.	Pes skáče skrz obruč.
Pes skáče do vzduchu, aby chytil hračku.	Černý pes, skočí do vzduchu, aby chytil hračku.
Mladá smějící se dívka a chlapec hrají na velký buben.	Mladá dívka a malý chlapec stojí u kytary a bubnu.
Hnědý pes leží na modré přikrývce.	Člověk se potápí v průzračně modré vodě.
Dva chlapci hrající si na hřišti.	Dva lidé mají hlavy pokryté šátky.
Hnědý pes běží na sněhu se sněhovou koulí v tlamě.	Čtyři psi si hrají na sněhu s panoramou města za nimi.
Skupina lidí stojí na ulici.	Žena oslovující rozmanitou skupinu lidí stojící na ulici.
Pes běží na hnědé trávě.	Mokrý pes s tenisákem běží přes žlutou trávu.
Dva psi běží přes trávu.	Tři psi běží ve sněhu.
Muž a dva mladí kluci skáčou na trampolíně.	Muž a dva kluci skáčou na trampolíně.
Muž sedící na veřejnosti jí jablko.	Muž na veřejném prostranství jí jablko.
Chlapec se zlomenou rukou odpočívá v posteli.	Chlapec se zlomenou rukou spí.
Chlapec dělá triky na skateboardu.	Chlapec dělá trik na skateboardu.
Dvě mladé dívky v trávě se navzájem objímají.	Dvě mladé dívky na travnatém terénu se navzájem drží.
Dva bílí psi prochází skrz hluboký bílý sníh.	Dva bílí psi prochází skrz obrovský násep horského sněhu.
Čtyři dívky v plavkách hrají volejbal na pláži.	Čtyři ženy v bikinách hrají volejbal na pláži.
Pták letí přes vodu.	Pták letí nad vodou.
Pes běží přes rybník.	Bledý pes běží po prašné cestě.
Tři psi hrající si ve sněhu.	Tři psi si hrají ve vodě.
Holčička s mašlí ve vlasech si vybírá nos.	Holčička s helmou ve fialovém tričku jede na koloběžce.
Muž a žena sledují dva psy.	Muž v kaštanovém koupacím obleku se houpe na laně na jezeře.
Muž sedící v doku kouká na vodu.	Muž skáče ze skály do vody.
Mladá dívka se klouže na klouzačce.	Mladá dívka se houpe na houpačce z pneumatiky.
Mnoho lidí je v cyklistickém závodu, včetně muže na tříkolce.	Muž jede na tříkolovém vozíku.
Skupina lidí nosí králičí uši.	Skupina lidí jede závod.
Pes v tričku se supermanem spí na dece.	Hnědý pes v tričku se supermanem leží na modré dece.
Hnědobílý pes běží sněhem.	Hnědobílý pes běží po trávě.
Bílo hnědý pes běží přes trávu.	Hnědobílý pes běží přes trávu.
Muž a žena stojí před budovou.	Dvě dívky sedí na ATV na písku před mostem.
Hnědý pes dává odpočinout svým tlapám na klávesnici notebooku.	Pes i se svými tlapami sedí na notebooku.
Mladá dívka s brýlemi sedí a drží dvě Americké vlajky.	Dívka v brýlích se dívá přes dvě Americké vlajky poblíž zalesněné oblasti.
Malý bílo hnědý pes skáče přes vodorovnou tyč.	Hnědobílý pes skáče přes červenožlutou tyč.
Dva psi běží přes travnatou plochu.	Dva psi běží přes travnaté pole.
Děti si hrají s míčem v parku.	Dva psi si hrají na břehu.
Muž se houpe na laně nad vodou.	Muž v teplém oblečení se v noci houpe na prolézačkách.
Muž ve fraku jede na kole po zpevněné cestě.	Muž pomocí velké tyče odstraňuje písmena ze značky.
Dva Asiati a dvě Asiatky sedí v černých masážních křeslech.	Dva Asiati a jedna žena relaxují v masážních křeslech.
Černobílý pes běží v travnaté zahradě obklopené bílým plotem.	Černobílý pes skáče přes překážky.
Skupina turistů, odpočívá před horou.	Několik turistů s jejich vybavením odpočívá před horou.
Dívka si hraje v hromadě barevných míčků.	Holčička si hraje v díře plné barevných míčků.
Starší muž stojí venku před nákladním autem.	Žena oblečená v zeleném jezdí venku na kolečkových bruslích na nějaké akci.
Usmívající se muž s reflexními brýlemi.	Gentleman se usmívá a ukazuje jeho reflexní sluneční brýle.
Pět lidí stojí na chodníku.	Pět lidí na chodníku.
Dvě dívky v modrých a zelenomodrých šatech s velkými klobouky stojí vedle velkého kmene stromu.	Žena, malý chlapec a malé dítě stojí před sochou krávy.
Bílý pes běží přes sníh.	Bílý medvěd jde po sněhem pokryté zemi a vrhá stín do sněhu.
Mladý kluk, v hnědé bundě si hraje se sněhem.	Dva psi si hrají ve sněhu.
Tři delfíni skáčou v bazénu, před davem lidí.	Muž prezentuje před mnoha lidmi.
Muž zvedá velký kámen.	Žena zvedá velký kámen.
Bílo hnědý pes běží přes trávu.	Hnědobílý pes běží napříč trávou.
Pes běží přes pole.	Pes běhá přes pole.
Černobílý pes skáče do vody.	Bílý pes běží přes vodu.
Muž nese krabici s nářadím po chodníku.	Žena jede na modrém kole v parku.
Muž v tričku s nápisem "Gigolo" stojí u pultu a s někým mluví.	Muž v tričku s nápisem "Gigolo" stojí na recepci zády ke kameře.
Stan a kemp v prosluněném lese.	Bílý pes na pláži nese klacek v tlamě.
Dva velcí psi běží v nějaké trávě.	Dva žíhaní psi běží v trávě.
Pes plave s klackem v tlamě.	Pes běží s klackem v tlamě.
Žena spí v sedu, s hlavou opřenou o ruku.	Muž, který odpočívá s hlavou položenou na ruce.
Mladý chlapec skákající do jezera.	Chlapec skáče do jezera.
Muž aportuje se dvěma hnědými psi.	Žena si hraje s hnědým psem.
Žluto hnědo bílý pes získává míček na štěrkové cestě.	Velký pes jde v lese po štěrkové cestě.
Pes běží přes písek s klackem v tlamě.	Pes běží skrz potok s klackem v tlamě.
Muž stojí ve vodě poblíž vodopádu.	Muž se brodí ve vodě a sleduje padající vodu.
Černý pes honí dva ptáky na břehu oceánu.	Pes běží podél pláže vedle oceánu.
Muž a žena na lavičce.	Muž a žena sedí v parku na lavičce.
Žluto hnědý pes vyskočí chytit tenisový míček.	Červený pes skočí a chytí tenisový míček do tlamy.
Muž skáče do vody.	Muž je ve vzduchu.
Žena v černém triku stojí před banány u stánku s ovocem.	Žena oblečená v černém stojí před dodávkou.
Dítě skáče do bazénu.	Pes skákající do bazénu.
Malý chlapec skákající z židle na židli.	Mladý chlapec skákající z židle na židli v jeho domě.
Dívka v jezeře švihá s jejími dlouhými, mokrými vlasy.	Osoba jedoucí na špinavém kole.
Dva psi hrající si na pobřeží.	Dva psi hrající si ve sněhu.
Holčička chodí po promenádě s modrými kupolemi v pozadí.	Muž přejíždí překážku na kole s řekou v pozadí.
Hnědobílý pes zanechává ve sněhu stopy.	Černobílý pes skotačí ve sněhu.
Hnědý pes leží na modrém prostěradle.	Hnědý pes a dva černí psi v zarostlé travnaté ploše.
Dvě ženy sedící na lavičce, mají zakryté tváře, jedna žena drží nafukovacího tygra a druhá má kostým Sněhurky od Disneyho.	Dívka sedí na lavičce a drží nafukovacího tygra, sedí vedle jiné dívky v barevném oblečení.
Chlap a dvě dívky se usmívají do kamery.	Tři psi, jeden bílý a dva hnědí běží společně po travnatém poli.
Pes plavající s klackem v tlamě.	Pes plavající ve vodě s klackem v tlamě.
Černý pudl si hraje ve sněhu.	Černý pudl skotačí ve sněhu.
Dvě dívky držící leták strašidelného filmu.	Dvě dívky držící pytle stojí v poli.
Tři chlapci hrající hru běží po pláži.	Dva mladí chlapci a jeden mladý muž běží po pláži s vodou za nimi.
Dívka má na sobě oblečenou fialovou šerpu sladěnou se sukní.	Skupina dívek stojí oblečené v džínových sukních a tričkách se supermanem.
Dva psi bojující ve sněhu.	Dva psi stojící ve sněhu.
Muž a dva mladí chlapci skáčou na trampolíně.	Muž a dva chlapci se odrážejí na trampolíně.
Muž oblečený v šedé bundě stojící na straně ulice.	Chlapec oblečený v modré záchranné vestě se drží na straně zelené lodě.
Hnědočerný pes skáče, aby chytil červený míč.	Hnědočerný pes, skáče, pro červený míč.
Žlutohnědý pes běží přes listy.	Bílý pes běží přes oceán.
Bíločerný pes skáče do bazénu.	Žena v černé zástěře stojí před zrcadlem.
Černobílý pes nese klacek v tlamě.	Černobílý pes, má klacek v tlapách.
Jelen skáče přes plot.	Jelen skákající přes plot.
Malé děvče drží dřevěný klacek.	Malé děvče plavající v bazénu.
Černý pes skáče přes vodu.	Pes jde přes sníh.
Skupina lidí před červeným hasičským vozem.	Skupina lidí stojí okolo červeného hasičského vozu.
Chlapec skočí do modré bazénové vody.	Mladý chlapec skáče do bazénu po břiše.
Zlatosrstý pes ve sněhu chytá míček do tlamy.	Malá blondýnka sedí na zelené židli.
Tři děti se smějí a hrají si na podlaze.	Tři děti hrající si na podlaze.
Muž s rybářskými pruty sedí v blízkosti vodního toku.	 Muž sedí na kameni vedle skládacího sedátka a rybářského prutu.
Žena a pes stojící v trávě.	Muž drží znak, zatímco stojí v dešti.
Muž v modrém tričku běhá na stadionu.	Muž v modrém klobouku a tričku jede na bílém koni.
Žena v černo oranžové bundě hází klacek hnědočernému psu jako aport.	Muž v modré bundě stojí v davu.
Černý pes běžící vodou.	Černý pes běží nějakou vodou.
Děti skákající na trampolíně.	Muž sjíždí oranžovou skluzavku.
Velký hnědý pes se krčí v travnatém poli.	Hnědý pes běží v poli.
Muž cvičící box.	Muž cvičí box.
Pes běží trávou.	Pes běží sněhem.
Dívka s modrým kýblem cáká pod molem.	Dívka v lyžařské bundě jde poblíž budov.
Lyžař sviští sněhem.	Hnědý pes nesoucí létající talíř běží sněhem.
Dva lidi na golfovém kurzu hrají golf.	Dva lidi jsou na golfovém kurzu a hrají golf.
Chlapec a dívka si hrají na pláži.	Pes hrající si ve vlnách s míčem.
Pes běžící přes sníh se sněhovou koulí v tlamě.	Žlutohnědý pes běží trávou se žlutou hračkou v tlamě.
Dítě v červeném kabátu leží na červené podložce.	Batole je připravené vylézt na kus červeného vybavení.
Dva psi si hrají v trávě.	Dva psi hrající si v trávě.
Skupina lidí dávající pozor na vodu stojí v písku.	Skupina lidí stojí na pláži před nějakými loděmi.
